service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3_merged_16591262,20171127,20180218,1,1,1,1,1,0,0
1_merged_16591261,20171127,20180218,0,0,0,0,0,1,0
9203,20170821,20171126,0,0,0,0,0,0,0
6302_merged_16591265,20171127,20180218,0,0,0,0,0,0,0
9603,20170821,20171126,0,0,0,0,0,0,0
10403,20170821,20171126,0,0,0,0,0,0,0
9303,20170821,20171126,0,0,0,0,0,0,0
6302_merged_16591260,20170821,20171126,0,0,0,0,0,0,0
6902_merged_16591258,20170821,20171126,0,0,0,0,0,0,0
9403,20170821,20171126,0,0,0,0,0,0,0
11602,20171127,20180218,0,0,0,0,0,0,0
2_merged_16591259,20170821,20171126,0,0,0,0,0,0,1
11702,20171127,20180218,0,0,0,0,0,0,0
8902,20170821,20171126,0,0,0,0,0,0,0
1_merged_16591256,20170821,20171126,0,0,0,0,0,1,0
203,20171127,20180218,0,0,0,0,0,0,0
7802,20170821,20171126,0,0,0,0,0,0,0
9503,20170821,20171126,0,0,0,0,0,0,0
9103,20170821,20171126,0,0,0,0,0,0,0
103,20171127,20180218,0,0,0,0,0,0,0
7902,20170821,20171126,0,0,0,0,0,0,0
6902_merged_16591263,20171127,20180218,0,0,0,0,0,0,0
11102,20170821,20171126,0,0,0,0,0,0,0
2_merged_16591264,20171127,20180218,0,0,0,0,0,0,1
3_merged_16591257,20170821,20171126,1,1,1,1,1,0,0
